form	lemma	POS	morph
ཕཊ་		NON_WORD
།		PUNCT
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
འོ་	གོ་	PART
། །		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ཕྱི་རོལ་	ཕྱི་རོལ་	NOUN
དུ་	ལ་	PART
འདབ་མ་	འདབ་མ་	NOUN
བཅུ་དྲུག་པ་	བཅུ་དྲུག་པ་	NO_POS
།		PUNCT
འདབ་མ་	འདབ་མ་	NOUN
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
དབྱངས་	དབྱངས་	NOUN
		
ཞ་	ཞ་	OTHER
		
སྤང་	སྤང་	VERB
		
ཐུང་བ་	ཐུང་བ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
བྲི་བ་	བྲི་བ་	VERB
འི་	གི་	PART
གཞི་	གཞི་	NOUN
ཕྲ་བ་	ཕྲ་བ་	VERB
ཞིག་	ཅིག་	PART
ལ་	ལ་	ADP
ཤ་	ཤ་	VERB
ན་	ནས་	PART
བརྩམས་	བརྩམས་	VERB
ཏེ་	སྟེ་	PART
ཨཱ་ལི་	ཨཱ་ལི་	NOUN
བཅུ་དྲུག་	བཅུ་དྲུག་	NO_POS
གཡོན་སྐོར་	གཡོན་སྐོར་	NO_POS
གྱིས་	གིས་	PART
འབྲི་བ་	འབྲི་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
"།

།"		PUNCT
འདབ་མ་	འདབ་མ་	NOUN
བཅུ་དྲུག་པ་	བཅུ་དྲུག་པ་	NO_POS
འི་	གི་	PART
ཕྱི་རོལ་	ཕྱི་རོལ་	NOUN
དུ་	ལ་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
རྩིབས་	རྩིབས་	NOUN
བཅུ་དྲུག་པ་	བཅུ་དྲུག་པ་	NO_POS
སྟེ་	སྟེ་	PART
༑		PUNCT
གསུང་	གསུང་	VERB
གི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
སྐུ་	སྐུ་	NOUN
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
ཕྱོགས་མཚམས་	ཕྱོགས་མཚམས་	NOUN
བརྒྱད་	བརྒྱད་	NUM
དུ་	ལ་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
རྩིབས་	རྩིབས་	NOUN
		
ལུ་	ལུ་	NO_POS
		
རྩིབས་	རྩིབས་	NOUN
		
གཉིས་	གཉིས་	NUM
གཉིས་པ་	གཉིས་པ་	NUM
བརྟན་པ་	བརྟན་པ་	VERB
ར་	ལ་	PART
བྲིའོ་		NON_WORD
། །		PUNCT
དེ་	དེ་	DET
འང་	ཀྱང་	PART
གཙོ་བོ་	གཙོ་བོ་	ADJ
ལ་	ལ་	ADP
ཞལ་	ཞལ་	NOUN
བལྟས་་	བལྟས་པ་	VERB
འི་	གི་	PART
གཡའ་	གཡའ་	NOUN
ངོ་	ངོ་	NOUN
རྣམས་	རྣམས་	DET
སུ་	སུ་	ADP
ནི་	ནི་	NO_POS
སྐུ་	སྐུ་	NOUN
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
རྣམས་	རྣམས་	DET
འོང་	འོང་	VERB
ལ་	ལ་	ADP
།		PUNCT
སྐུ་	སྐུ་	NOUN
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
ཞལ་	ཞལ་	NOUN
ནང་	ནང་	NOUN
དུ་	ལ་	PART
བལྟས་་	བལྟས་པ་	VERB
འི་	གི་	PART
གཡོན་	གཡོན་	NOUN
ངོ་	ངོ་	NOUN
རྣམས་	རྣམས་	DET
སུ་	སུ་	ADP
ནི་	ནི་	NO_POS
གསུང་	གསུང་	VERB
གི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
རྣམས་	རྣམས་	DET
ཧྲཱིཿ་		NON_WORD
དང་	དང་	NO_POS
སྤེལ་བ་	སྤེལ་བ་	VERB
།		PUNCT
སྐུ་	སྐུ་	NOUN
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
རྣམས་	རྣམས་	DET
ནི་	ནི་	NO_POS
ཨྃ་		NON_WORD
དང་	དང་	NO_POS
སྤེལ་	སྤེལ་	VERB
ཞིང་	ཞིང་	SCONJ
།		PUNCT
སོ་སོ་	སོ་སོ་	PRON
ལ་	ལ་	ADP
བསྒྲུབ་བྱ་	བསྒྲུབ་བྱ་	VERB
འི་	གི་	PART
མིང་	མིང་	NOUN
དང་	དང་	NO_POS
སྤེལ་བ་	སྤེལ་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
སྤེལ་	སྤེལ་	VERB
ལུགས་	ལུགས་	NOUN
གཉིས་པོ་	གཉིས་པོ་	NUM
ནི་	ནི་	NO_POS
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
སྐབས་	སྐབས་	NOUN
སུ་	སུ་	ADP
བཤད་པ་	བཤད་པ་	VERB
ལྟ་	ལྟ་	OTHER
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
། །		PUNCT
དེ་	དེ་	DET
ལ་	ལ་	ADP
གསུང་	གསུང་	VERB
གི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
ཤར་ཕྱོགས་	ཤར་ཕྱོགས་	NOUN
སུ་	སུ་	ADP
༑		PUNCT
		
ཨཱྃ་		NON_WORD
ཨཱཾ་		NON_WORD
		
ཞ་	ཞ་	OTHER
		
ཨོཾ་	ཨོཾ་	X
		
ཧྲཱིཿ་		NON_WORD
བྱང་	བྱང་	NOUN
དུ་	ལ་	PART
བྃ་		NON_WORD
མཾ་	མཾ་	NO_POS
ཧྲཱིཿ་		NON_WORD
ནུབ་	ནུབ་	ADV
ཏུ་	ལ་	PART
		
བཾ་		NON_WORD
མ་	མ་	PART
		
ཞ་	ཞ་	OTHER
		
ཨཾ་		NON_WORD
བཾ་		NON_WORD
		
ཧྲཱིཿ་		NON_WORD
ལྷོ་	ལྷོ་	NOUN
ར་	ལ་	PART
པྃ་		NON_WORD
སུྃ་		NON_WORD
ཧྲཱིཿ་		NON_WORD
མེ་	མེ་	NOUN
ར་	ལ་	PART
སུྃ་		NON_WORD
ཤྃ་		NON_WORD
		
ལུ་	ལུ་	NO_POS
		
ཤྱཾ་		NON_WORD
		
ཧྲཱྃཿ་		NON_WORD
སྲིན་པོ་	སྲིན་པོ་	NOUN
ར་	ལ་	PART
བཾ་		NON_WORD
སུྃ་		NON_WORD
ཧྲཱིཿ་		NON_WORD
རླུང་	རླུང་	NOUN
དུ་	ལ་	PART
མུྃ་		NON_WORD
		
ལུ་	ལུ་	NO_POS
		
མཾ་	མཾ་	NO_POS
		
ཧྃ་		NON_WORD
ཧྲཱིཿ་		NON_WORD
དབང་ལྡན་	དབང་ལྡན་	NO_POS
དུ་	ལ་	PART
བིཾ་		NON_WORD
		
ཞ་	ཞ་	OTHER
		
མཾ་	མཾ་	NO_POS
		
ཁྃ་		NON_WORD
ཧྲཱིཿ་		NON_WORD
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བྲིའོ་		NON_WORD
། །		PUNCT
སྐུ་	སྐུ་	NOUN
འི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
ཤར་ཕྱོགས་	ཤར་ཕྱོགས་	NOUN
སུ་	སུ་	ADP
མྃ་		NON_WORD
ཙྃ་		NON_WORD
ཨོཾ་	ཨོཾ་	X
།		PUNCT
བྱང་	བྱང་	NOUN
དུ་	ལ་	PART
རྃ་		NON_WORD
ཁྃ་		NON_WORD
ཨོཾ་	ཨོཾ་	X
།		PUNCT
ནུབ་	ནུབ་	ADV
ཏུ་	ལ་	PART
ཧྃ་		NON_WORD
སཾ་		NON_WORD
		
ཞ་	ཞ་	OTHER
		
ལུ་	ལུ་	NO_POS
		
ཤཾ་		NON_WORD
		
ཨོཾ་	ཨོཾ་	X
།		PUNCT
ལྷོ་	ལྷོ་	NOUN
ར་	ལ་	PART
ཨྃ་		NON_WORD
ཙྃ་		NON_WORD
ཨོཾ་	ཨོཾ་	X
།		PUNCT
མེ་	མེ་	NOUN
ར་	ལ་	PART
		
ཧེཾ་		NON_WORD
སུྃ་		NON_WORD
		
ཞ་	ཞ་	OTHER
		
ཧཾ་		NON_WORD
སཾ་		NON_WORD
		
ཨོཾ་	ཨོཾ་	X
།		PUNCT
སྲིན་པོ་	སྲིན་པོ་	NOUN
ར་	ལ་	PART
བྃ་		NON_WORD
མྃ་		NON_WORD
ཨོཾ་	ཨོཾ་	X
།		PUNCT
རླུང་	རླུང་	NOUN
དུ་	ལ་	PART
བཻ་	བཻ་	NO_POS
ྃ་		NON_WORD
		
ཞ་	ཞ་	OTHER
		
ལུ་	ལུ་	NO_POS
		
བཾ་		NON_WORD
		
ཙྃ་		NON_WORD
ཨོཾ་	ཨོཾ་	X
།		PUNCT
དབང་ལྡན་	དབང་ལྡན་	NO_POS
དུ་	ལ་	PART
བྃ་		NON_WORD
མྃ་		NON_WORD
ཨོཾ་	ཨོཾ་	X
།		PUNCT
ཐམས་ཅད་	ཐམས་ཅད་	DET
དུ་	ལ་	PART
ཡང་	ཀྱང་	PART
བསྒྲུབ་བྱ་	བསྒྲུབ་བྱ་	VERB
འི་	གི་	PART
མིང་	མིང་	NOUN
སྤེལ་བ་	སྤེལ་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
འང་	ཀྱང་	PART
ས་བོན་	ས་བོན་	NOUN
གཉིས་	གཉིས་	NUM
ཀྱི་	གི་	PART
མགོ་	མགོ་	NOUN
ཨོཾ་	ཨོཾ་	X
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
འི་	གི་	PART
གོང་	གོང་	NOUN
དུ་	ལ་	PART
བྲི་བ་	བྲི་བ་	VERB
ར་	ལ་	PART
གཞུང་ལས་	གཞུང་ལས་	NO_POS
